Province_State,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17
New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,2,2,0,0,4,8,0,1,1,0,2,7,0,5,1,0,4,0,6,3,2,0,7,0,0,0,12,9,3,2,0,6,0,22,7,10,2,0,9,8,1,8,12,1,0,0,18,9,5,4,1,1,4,9,9,6,0,7,0,11,9,8,5,5,3,0,0,15,7,7,3,2,0,6,4,1,6,2,0,0,4,4,10,8,2,0,0,4,2,2,1,3,2,1,2,2,1,3,1,0,0,1,2,1,0,1,2,0,2,2,3,2,2,0,0,0,2,4,0,1,1,0,1,0,1,0,0,0,0,0,1,2,1,0,0,0
New Jersey,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,6,3,6,7,11,20,21,28,32,51,27,49,98,110,205,136,242,126,152,296,341,276,279,325,242,167,415,410,422,371,288,336,173,296,433,306,290,271,56,143,431,350,483,335,230,154,63,344,324,273,175,170,157,91,203,192,241,206,118,105,82,149,171,103,146,100,58,14,53,149,75,127,105,68,29,52,111,95,82,58,71,39,93,76,67,50,135,39,50,86,43,35,33,23,17,38,53,51,0,42,34,27,17,43,43,29,57,25,22,18,52,51,116,31,46,0,35,22,52,31,19,15,7,9,22,0,23,35,11,11,17,21,0,11,10,11,6,10,11,0,7,0,20,5,4,12,0,8,10,7,2,4
New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,1,4,1,1,0,1,0,3,1,2,7,0,5,5,0,8,9,2,3,0,13,7,6,9,6,0,6,7,11,8,7,13,5,6,7,3,9,10,9,8,11,12,11,11,6,6,5,6,7,11,8,6,9,3,5,4,6,9,7,5,6,5,8,8,4,5,4,4,4,6,10,0,11,4,5,7,5,4,8,2,3,0,7,4,5,4,2,1,1,4,3,3,8,2,0,2,4,8,6,6,4,2,3,3,6,5,3,4,2,7,10,3,5,5,6,7,5,7,6,3,7,9,3,1,3,9,2,6,6,4,5,3,2,2,6,8,3,4
New York,0,0,0,0,0,0,0,0,0,1,0,1,3,5,11,14,25,32,55,48,92,100,127,149,249,315,374,430,554,659,732,837,706,591,822,1030,1081,985,973,849,927,975,978,882,786,742,1050,1046,0,619,627,515,657,553,435,406,482,335,446,372,369,290,284,353,282,569,229,317,221,174,198,217,204,161,265,172,126,87,201,118,90,103,189,85,99,60,186,34,107,87,60,134,53,58,129,62,49,94,55,35,80,31,154,18,27,30,55,26,24,21,79,36,34,62,27,41,18,17,5,18,71,11,21,73,20,49,13,24,8,32,48,12,7,45,13,19,19,17,15,17,11,14,38,36,2,12,22,15,8,5,25,6,5,16,9,6,29,2,4,8,6,7,6,10,8,22,6,7,6
North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,0,5,2,7,6,7,4,7,8,13,10,7,6,0,5,18,18,20,27,10,13,18,27,20,16,13,11,19,16,23,19,24,13,12,3,8,30,20,21,17,21,13,11,25,25,16,26,9,10,7,0,33,8,41,3,6,6,11,43,32,43,10,8,11,13,38,7,9,13,4,9,27,22,16,15,6,5,8,29,12,7,14,13,30,33,18,29,11,12,5,0,5,23,18,11,10,3,1,9,14,16,15,20,16,9,7,42,18,18,16,25,4,25,28,27,24,33,22,6,21,22,28,34,20,37,4,60,18,24,41,34,24,8,7,39,42,7,26,30,4,1
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,4,1,1,0,1,1,2,0,0,0,4,1,1,0,0,6,0,2,2,0,1,2,2,0,2,0,1,1,1,4,2,1,0,1,1,0,2,1,2,1,1,0,4,1,0,5,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,4,1,0,0,2,0,0,1,0,1,1,0,2,1,1,2,1,2,0,0,0,1,2,1,0,0,2,0,2,1,1,1,2,0,1,5,2,0,1,0,4,1
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,3,4,4,6,4,11,15,10,16,10,11,17,23,25,26,20,18,16,6,21,50,38,45,11,33,20,38,48,53,46,34,21,17,25,46,138,39,27,19,17,18,78,90,46,35,25,10,16,79,47,51,47,29,15,32,63,61,56,35,84,13,18,15,42,54,33,18,6,52,52,41,40,17,15,7,27,17,36,33,18,46,3,16,24,12,22,34,30,3,4,31,20,17,16,16,3,11,45,13,27,0,4,4,16,43,21,15,26,4,22,6,5,6,28,9,20,42,15,30,16,21,41,0,10,37,38,40,20,47,26,14,10,31,26,22,34,16,1,4,35,26,21,29,40,2,6
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,2,1,7,1,0,7,7,4,4,4,4,5,16,12,1,8,6,2,3,9,15,8,5,0,4,3,21,6,9,9,6,1,2,10,7,8,8,8,0,0,9,6,7,6,4,2,2,4,0,6,1,3,0,0,5,6,5,3,4,0,2,5,4,3,4,5,0,0,5,2,3,1,2,1,0,6,2,2,2,0,0,0,4,1,2,1,1,1,0,2,1,3,2,7,1,0,2,2,6,3,0,0,1,5,3,3,6,5,1,2,4,4,6,7,6,0,1,9,13,3,7,12,0,0,13,14,13,5,8,1,1,15,17,10,7,3,0,2,13,9,11,6,13,4,4
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,3,2,1,1,1,0,3,2,1,2,1,0,5,0,2,4,11,0,4,4,1,2,3,6,6,2,2,1,3,0,5,3,1,5,0,7,2,2,1,5,0,0,4,2,6,3,3,0,3,0,4,3,0,0,0,1,2,4,1,2,0,1,0,0,0,3,0,2,0,1,3,2,0,2,0,2,1,5,0,2,2,0,3,4,2,1,4,1,1,1,2,0,3,2,5,0,0,2,3,1,1,0,4,2,0,5,4,6,2,0,2,3,7,3,2,5,3,3,2,7,2,2,9,3,4,0,14,8,5,6,3,1,2,5,5,1,9,7,1,1,11,7,8,2,1,2,0
Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,7,3,4,12,7,9,13,11,16,12,34,15,28,68,71,27,73,85,54,32,102,88,62,80,121,234,72,266,59,51,23,46,23,70,160,327,102,160,60,25,118,341,166,244,126,64,27,26,82,180,194,134,58,15,20,113,142,99,141,102,24,10,17,102,108,91,73,18,12,100,75,90,66,33,12,10,61,48,51,49,49,4,28,33,43,42,38,20,4,3,38,54,39,22,24,3,8,35,35,28,34,3,4,1,33,25,36,32,17,7,7,20,26,27,20,11,7,3,26,26,16,23,8,3,4,23,17,23,13,12,4,1,24,6,28,14,14,1,3,29,37,15,39,17,2,0
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,2,3,1,3,3,2,1,2,1,9,6,3,2,1,0,6,5,2,2,2,1,1,0,6,8,6,1,0,2,0,6,2,1,2,0,2,0,3,5,1,3,2,1,1,2,5,0,1,1,0,1,1,0,1,0,2,0,0,2,1,1,3,0,2,2,0,1,1,0,0,0,1,1,2,0,1,0,0,0,0,0,0,2,0,0,0,2,0,1,1,0,0,0,0,1,1,0,0,2,2,0,0,8,0,0,2,2,1,5,1,0,2,0,5,3,3,10,0,0,8,2,3,5,6,5,0,7,9,12,7,9,5,0,8,8,11,11,12,6,0
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,2,2,2,3,8,2,3,5,8,0,13,7,0,17,0,7,31,19,13,5,16,10,8,13,13,11,7,6,12,15,13,17,24,21,14,15,18,11,19,4,8,14,18,6,11,10,10,7,26,6,18,23,18,11,0,26,21,22,16,18,7,2,12,10,14,16,0,0,27,9,4,11,10,0,0,18,14,11,9,9,0,0,9,3,6,8,7,0,0,19,4,6,3,1,0,0,0,9,2,3,2,0,0,8,1,2,1,2,0,0,5,1,1,4,1,0,0,2,1,2,0,0,0,0,3,1,1,2,0,0,0,1,1,2,1,2,0,0,2
South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,2,2,4,2,1,2,4,4,5,3,6,4,4,3,0,16,5,8,2,0,15,9,5,5,3,1,3,1,16,10,7,9,8,3,15,39,13,12,11,8,8,13,9,11,4,10,1,15,9,7,9,9,0,5,6,8,8,9,3,6,10,5,6,20,4,13,4,7,6,1,17,7,14,6,1,11,11,7,13,5,6,1,2,5,10,4,18,5,9,6,14,10,10,1,17,5,4,19,27,18,9,20,7,7,19,38,21,24,22,10,11,21,5,72,26,39,20,9,57,64,49,51,80,26,15,59,50,52,45,39,26,16,54,47,48,20,45,24,17,50,46,40,20,56,9,19
South Dakota,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,2,4,4,0,0,0,3,5,2,0,3,0,0,5,0,4,1,0,0,0,2,0,2,2,0,0,0,0,4,0,5,3,0,0,0,0,2,0,1,0,0,3,1,4,1,1,0,0,2,1,0,3,0,0,0,2,1,3,1,3,0,0,0,2,4,0,0,0,0,1,0,3,6,2,0,0,0,2,4,1,0,2,0,0,1,2,1,0,1,0,0,6,0,1,4,1,0,1,1,4,3,2,0,0,0,1,1,2,2,1,0
Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,1,1,6,9,1,12,5,9,3,12,7,8,14,4,8,0,3,15,0,12,5,1,6,4,5,0,14,0,8,4,3,4,7,4,5,5,1,9,7,13,0,4,0,1,8,15,7,14,3,5,3,3,4,0,8,2,14,7,2,5,10,3,5,3,0,0,17,7,13,7,9,1,3,14,2,4,25,6,2,8,11,5,10,7,9,2,5,11,14,11,10,7,0,8,12,5,11,13,4,8,7,13,20,25,13,15,3,8,18,16,13,19,23,5,4,24,17,37,13,26,3,11,21,21,13,27,7,6,19,25,27,42,20,9,8,10,38,18,24,13,19,21,21
Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,2,2,5,4,6,9,5,8,10,11,17,15,18,17,28,19,13,26,26,25,32,21,26,37,34,41,40,26,17,17,38,25,50,23,21,18,22,40,34,55,25,19,15,24,23,30,33,38,36,26,18,31,26,63,53,34,28,7,41,45,28,13,8,60,10,17,40,35,8,46,19,9,39,30,34,36,21,9,14,20,37,31,32,25,22,16,50,41,45,29,27,13,16,37,41,52,44,45,25,27,53,62,65,72,44,49,62,130,127,153,84,82,101,88,114,163,161,175,136,103,117,120,256,190,161,182,93,685,270,313,123,120,267,5,137,234,358,259,278,211,99,73,0,305,244,307,190,128,51
Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,2,0,1,0,5,0,0,0,4,1,0,0,5,2,0,3,2,2,1,4,0,3,4,2,0,0,0,4,1,0,3,1,0,6,2,3,0,5,1,1,5,2,0,2,1,2,0,8,2,2,1,4,0,1,3,4,1,1,5,1,0,0,4,0,3,1,0,3,3,1,3,8,0,0,4,2,4,3,3,0,3,0,5,0,1,2,1,0,1,4,1,3,5,0,3,6,4,7,4,2,5,3,1,10,7,1,1,8,0,4,4,9,7,6,1,0,7,5,6,8,4,6,1,3,7,6,3,5,0,1,9,4,2,2,7,3,0,1
Vermont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,1,1,1,2,0,0,1,3,1,0,3,2,1,0,0,0,1,1,2,1,1,0,4,2,3,0,0,2,0,3,1,2,0,1,0,0,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Virginia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,0,3,0,1,0,3,7,0,12,7,7,5,6,0,14,0,0,43,12,9,11,8,5,41,13,23,27,19,23,24,25,24,38,26,12,11,32,30,30,29,36,43,24,29,24,32,43,15,12,11,42,36,28,22,25,7,5,27,33,25,36,23,12,37,28,45,57,20,12,5,17,15,21,17,9,7,11,5,19,18,6,14,7,5,6,18,13,3,16,5,4,9,25,16,14,25,24,8,8,23,23,30,29,4,4,0,28,24,32,21,4,4,2,9,15,15,6,12,2,4,17,3,3,13,8,3,4,13,30,16,33,41,3,0,26,30,25,18,5,4,1,17,8,11,7,11,0,4
Washington,5,1,3,1,2,3,2,1,4,1,7,6,2,1,8,7,12,6,10,11,3,12,7,17,17,7,31,10,7,20,9,37,20,24,21,45,19,26,30,27,12,11,7,17,22,27,24,10,23,7,21,22,25,11,15,12,15,22,15,13,10,6,4,7,21,8,21,14,16,10,14,17,12,9,8,8,2,1,29,6,7,6,0,11,9,8,17,11,5,7,0,5,6,6,3,11,4,4,4,15,0,18,10,9,4,3,11,0,19,10,10,5,6,8,9,7,4,6,0,10,12,7,3,10,2,5,10,15,10,15,15,0,14,0,5,17,6,7,10,3,6,12,3,14,13,0,7,17,30,7,9,0,28,4,4,19,5,29,19,16,0,9,19,8,12,19,11,15,4
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,2,1,1,2,4,0,2,6,2,1,4,1,0,2,0,4,0,3,5,2,0,0,0,2,1,1,0,2,0,4,0,2,4,0,3,1,0,1,1,2,0,0,0,0,2,0,0,1,0,1,2,0,1,5,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,4,3,1,4,0,1,0,7,0,0,3,4,8,2,6,6,0,4,3,0,0
Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,2,3,4,3,1,2,5,2,11,13,3,20,4,14,8,11,17,9,7,10,16,13,14,9,6,8,10,14,4,10,5,3,6,9,19,8,8,11,7,5,1,13,9,12,10,14,2,9,9,3,13,11,8,0,6,8,14,6,9,11,3,4,3,22,11,18,20,4,3,12,9,10,7,12,2,0,15,10,11,7,2,1,2,9,10,6,11,14,0,1,5,7,9,0,11,0,0,7,2,7,3,0,0,0,9,2,2,5,7,0,0,6,1,4,2,10,1,2,13,6,13,0,13,1,1,13,5,8,15,13,1,1,12,9,8,12,6,2,0,8,5,7,7,13,1,0
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
US,5,1,4,1,2,3,4,1,6,5,10,9,6,12,27,35,59,78,99,95,148,187,242,316,422,563,654,634,834,1255,1268,1613,1337,1327,1502,1739,2379,2182,2151,2146,2124,1850,1906,2457,2609,2175,2666,2445,1276,1834,2504,2431,2469,2154,1697,1330,1467,2241,2521,2324,1891,1692,1121,1333,2318,2363,1936,1747,1488,894,1015,1626,1763,1783,1681,1216,758,776,1555,1579,1234,1273,1130,614,523,695,1518,1192,1171,979,591,777,1043,1011,1023,949,687,447,513,945,918,888,832,763,308,391,843,752,710,672,613,284,387,847,764,559,612,500,251,364,735,687,724,653,271,299,351,1224,850,1012,830,691,451,389,928,968,953,920,870,445,514,1109,1211,1121,1123,901,477,1125,1368,1436,1216,1246,1111,406,539,1378,1372,1250,1243,1076,515,525,1064,1507,1076,1342,1029,571,445
